5-411%;"7.1"
8-805%;"7.1"
8-54[34]%;"7.2"
8-54[34]%;"7.2"
8-54[34]%;"7.2"
1-265%;"8.1"
8-835%;"8.1"
1-27[456]%;"8.2"
8-837%;"8.2"
8-83d.[012]%;"8.2"
5-377.[4567fgjkm]%;"8.3"
5-378.[35678][5a-h];"8.3"
5-378.c[0-9c-x];"8.3"
5-378.b[124589a-x];"8.3"
5-378.d[2-9x];"8.3"
5-35a.0%;"8.4"
5-384.[567]%;"12.1"
5-38a.c%;"12.1"
8-84[ab].%4;"12.1"
8-836.0[jkm];"12.2"
5-38[01].0[1235];"12.2"
5-393.0[01];"12.2"
5-395.0[123];"12.2"
5-383.[17]%;"12.3"
5-381.[157]%;"12.3"
5-381.2[04];"12.3"
5-381.8[034];"12.3"
5-393.[12567]%;"12.3"
5-393.3[568]%;"12.3"
5-393.4[1-7x]%;"12.3"
5-35[0-8]%;"13.1"
5-36[0-8]%;"13.1"
5-37[136]%;"13.1"
5-35[0-68]%;"13.2"
5-36[0-8]%;"13.2"
5-37[136]%;"13.2"
5-357.[1-9xy]%;"13.2"
5-820%;"14.1"
5-822%;"14.2"
5-821%;"14.3"
5-823%;"14.4"
5-83[12345678w]%;"14.5"
5-839.[1-9A-Z]%;"14.5"
5-32[134578]%;"15.1"
5-434.[3456]%;"16.1"
5-445.[45]%;"16.1"
5-502%;"16.2"
5-427.[01]%;"16.3"
5-42[3456]%;"16.3"
5-429.[pq]%;"16.3"
5-438.[01x]%;"16.3"
5-524.[0-4x]%;"16.4"
5-525.[01234x]%;"16.4"
5-484.[256]%;"16.5"
5-485%;"16.5"
5-65[23]%;"21.2"
5-68[57];"21.2"
5-40[467]%;"21.2"
5-54[37]%;"21.2"
5-87[0247]%;"21.3"
5-40[47].0%;"21.3"
5-406.1%;"21.3"
??;"21.4"
??;"22.1"
??;"22.2"
??;"22.3"
5-411%;"23.2"
8-805%;"23.2"
8-54[34]%;"23.3"
8-54[34]%;"23.3"
8-54[34]%;"23.3"
5-209.[278bcefgh]%;"24.2"
8-981%;"26.2"
8-552%;"26.3"
8-550%;"27.1"
8-98e%;"29.1"
5-467.6%;"30.1"
5-375%;"30.2"
5-503.[1-9xy]%;"30.3"
5-504%;"30.3"
5-335%;"30.4"
5-555%;"30.5"
5-528%;"30.6"
